"Main settings","Основные настройки"
"Module on Github","Модуль на Github"
"Magento Development","Разработка на Magento"
"Enabled","Включено"
"Payment type","Тип оплаты"
"One- or Two-step","Одно- или двух-стадийный"
"One-step payment","Одностадийный"
"Two-step payment","Двухстадийный"
"Redirect to bank after submitting order","Редирект на оплату в банк сразу после создания заказа"
"Send invoice via e-mail when order is successfully paid","Отправить инвойс по e-mail при успешной оплате заказа"
"Text message in checkout","Сообщение в чекауте"
"New order status","Статус нового заказа"
"Additional settings","Дополнительные настройки"
"Send additional e-mail when order is successfully paid","Отправить дополнительное письмо от имени магазина при успешной оплате заказа"
"Message text","Текст сообщения"
"Send invoice via e-mail when order is successfully paid","Отправить инвойс по e-mail при успешной оплате заказа"
"Send additional e-mail when order is successfully paid to this address","Отправить копию сообщения на этот email"
"If empty, nothing will be send.","Если не указано, то отправляться не будет."
"Technical section","Техническая секция"
"Debug","Логирование действий для отладки (debug logging)"
"Test mode","Режим тестирования"
"Enable iframe API","Включить API с frame"
"Frame token","Токен для frame"
"Iframe section","Секция iframe"